fluorochrome	type	nm	norm_intensity
LIVE_DEAD Fixable Orange (602)	em	603	100
LIVE_DEAD Fixable Orange (602)	ex	578	100
LIVE_DEAD Fixable Scarlet723	em	719	100
LIVE_DEAD Fixable Scarlet723	ex	696	100
LIVE_DEAD Fixable Violet	em	455	100
LIVE_DEAD Fixable Violet	ex	404	100
LIVE_DEAD Fixable Yellow	em	552	100
LIVE_DEAD Fixable Yellow	ex	401	100
LIVE_DEAD NIR775	em	776	100
LIVE_DEAD NIR775	ex	752	100
Lucifer Yellow	em	543	100
Lucifer Yellow	ex	427	100
LysoSensor Blue	em	424	100
LysoSensor Blue	em	448	47
LysoSensor Blue	ex	339	29
LysoSensor Blue	ex	356	63
LysoSensor Blue	ex	374	100
LysoSensor Blue	ex	396	100
LysoSensor Green	em	503	100
LysoSensor Green	ex	447	100
LysoSensor Yellow_Blue (pH 3.0)	em	540	91
LysoSensor Yellow_Blue (pH 3.0)	ex	388	91
LysoSensor Yellow_Blue (pH 9)	em	529	65
LysoSensor Yellow_Blue (pH 9)	ex	334	100
LysoTracker Blue	em	400	94
LysoTracker Blue	em	422	100
LysoTracker Blue	em	446	49
LysoTracker Blue	ex	338	30
LysoTracker Blue	ex	355	64
LysoTracker Blue	ex	373	100
LysoTracker Blue	ex	394	96
LysoTracker Deep Red	em	664	100
LysoTracker Deep Red	ex	351	36
LysoTracker Deep Red	ex	646	100
LysoTracker Green	em	509	100
LysoTracker Green	ex	500	100
LysoTracker Red	em	592	100
LysoTracker Red	ex	574	100
LysoTracker Yellow HCK-123	em	565	100
LysoTracker Yellow HCK-123	ex	486	100
Mag-fura-2	em	503	100
Mag-fura-2	ex	336	100
Magnesium Green	em	531	100
Magnesium Green	ex	335	16
Magnesium Green	ex	507	100
Marina Blue	em	463	100
Marina Blue	ex	363	100
mBanana	em	553	100
mBanana	ex	540	100
mHoneyDew	em	562	100
mHoneyDew	ex	478	100
mHoneyDew	ex	503	92
MitoHealth stain	em	508	100
MitoHealth stain	ex	490	100
MItoProbe TMRM	em	578	100
MItoProbe TMRM	ex	552	100
MitoSox Green	em	517	100
MitoSox Green	ex	368	31
MitoSox Green	ex	455	100
MitoSOX Red	em	582	100
MitoSOX Red	ex	380	60
MitoSOX Red	ex	499	100
MitoTracker Deep Red FM	em	662	100
MitoTracker Deep Red FM	ex	641	100
MitoTracker Green FM	em	512	100
MitoTracker Green FM	ex	490	100
MitoTracker Red	em	599	100
MitoTracker Red	ex	314	18
MitoTracker Red	ex	540	29
MitoTracker Red	ex	578	100
MitoTracker Red FM	em	650	100
MitoTracker Red FM	ex	604	100
Monobromobimane (mBBr)	em	490	100
Monobromobimane (mBBr)	ex	395	100
Monochlorobimane (mBCI)	em	483	100
Monochlorobimane (mBCI)	ex	388	100
mOrange	em	562	100
mOrange	ex	515	52
mOrange	ex	548	100
mPlum	em	647	100
mPlum	ex	589	100
mRaspberry	em	624	100
mRaspberry	ex	598	100
mScarlet	em	593	100
mScarlet	ex	570	100
mTangerine	em	585	100
mTangerine	ex	568	100
Naphthofluorescein	em	673	100
Naphthofluorescein	ex	361	37
Naphthofluorescein	ex	423	27
Naphthofluorescein	ex	599	100
NBD	em	538	100
NBD	ex	334	38
NBD	ex	467	100
NeuroTrace 435_455 blue fluorescent Nissl stain	em	458	100
NeuroTrace 435_455 blue fluorescent Nissl stain	ex	433	100
NeuroTrace 515_535 yellow fluorescent Nissl stain	em	531	100
NeuroTrace 515_535 yellow fluorescent Nissl stain	ex	514	100
NeuroTrace 530_615 red fluorescent Nissl stain	em	618	100
NeuroTrace 530_615 red fluorescent Nissl stain	ex	528	100
NeuroTrace 640_660 deep-red fluorescent Nissl stain	em	661	100
NeuroTrace 640_660 deep-red fluorescent Nissl stain	ex	341	14
NeuroTrace 640_660 deep-red fluorescent Nissl stain	ex	642	100
Nile blue	em	661	99
Nile blue	ex	326	17
Nile blue	ex	630	100
Nile red (phospholipid)	em	637	100
Nile red (phospholipid)	ex	552	100
Nile red (triglyceride)	em	583	100
Nile red (triglyceride)	ex	511	100
NovaFluor Blue 610-30S	em	527	19
NovaFluor Blue 610-30S	em	615	100
NovaFluor Blue 610-30S	ex	509	100
NovaFluor Blue 610-30S	ex	598	51
NovaFluor Blue 610-70S	em	510	16
NovaFluor Blue 610-70S	em	616	100
NovaFluor Blue 610-70S	ex	492	100
NovaFluor Blue 610-70S	ex	555	13
NovaFluor Blue 610-70S	ex	598	44
NovaFluor Blue 660-120S	em	510	26
NovaFluor Blue 660-120S	em	666	100
NovaFluor Blue 660-120S	ex	492	100
NovaFluor Blue 660-120S	ex	604	15
NovaFluor Blue 660-120S	ex	651	64
NovaFluor Blue 660-40S	em	527	29
NovaFluor Blue 660-40S	em	664	100
NovaFluor Blue 660-40S	ex	508	100
NovaFluor Blue 660-40S	ex	604	19
NovaFluor Blue 660-40S	ex	650	79
NovaFluor Blue510	em	513	100
NovaFluor Blue510	ex	492	100
NovaFluor Blue530	em	527	100
NovaFluor Blue530	ex	508	100
NovaFluor Blue555	em	510	28
NovaFluor Blue555	em	555	100
NovaFluor Blue555	ex	494	100
